Date	Rating	Rounds
26-May-2015	998	59
28-Apr-2015	1000	66
24-Mar-2015	1001	70
17-Feb-2015	1001	68
27-Jan-2015	1002	63
16-Dec-2014	1003	59
18-Nov-2014	1001	54
28-Oct-2014	1000	54
30-Sep-2014	1000	52
9-Sep-2014	999	50
26-Aug-2014	998	45
15-Jul-2014	1006	44
24-Jun-2014	1005	40
27-May-2014	1006	38
15-Apr-2014	1011	30
17-Dec-2013	1007	24
19-Nov-2013	1005	24
22-Oct-2013	1004	28
1-Oct-2013	1006	31
13-Aug-2013	1006	42
2-Jul-2013	1004	42
21-May-2013	1004	44
23-Apr-2013	1003	41
26-Mar-2013	1002	43
18-Dec-2012	1004	47
13-Nov-2012	1005	45
23-Oct-2012	1005	43
18-Sep-2012	1004	51
14-Aug-2012	1007	48
3-Jul-2012	1005	37
15-May-2012	1005	43
23-Mar-2012	1005	42
14-Feb-2012	1001	41
20-Dec-2011	1001	40
25-Oct-2011	1002	46
13-Sep-2011	1003	45
30-Aug-2011	1003	43
12-Jul-2011	1000	39
21-Jun-2011	999	37
17-May-2011	996	35
29-Mar-2011	1005	40
14-Dec-2010	1005	38
26-Oct-2010	1005	41
31-Aug-2010	1018	51
22-Jun-2010	1017	58
4-May-2010	1017	61
23-Mar-2010	1017	61
15-Dec-2009	1019	64
20-Oct-2009	1017	63
1-Sep-2009	1017	69
21-Jul-2009	1016	65
19-May-2009	1014	64
17-Mar-2009	1010	66
27-Jan-2009	1009	62
25-Nov-2008	1008	63
9-Sep-2008	1010	56
24-Jun-2008	1005	52
29-Apr-2008	1005	38
13-Nov-2007	1006	41
28-Aug-2007	1011	60
26-Jun-2007	1014	60
10-Apr-2007	1014	53
30-Jan-2007	1013	65
19-Dec-2006	1017	66
19-Sep-2006	1014	62
27-Jun-2006	1015	80
18-Apr-2006	1016	98
14-Feb-2006	1017	95
15-Dec-2005	1015	99
15-Sep-2005	1013	94
15-Jul-2005	1012	105
15-May-2005	1014	91
15-Feb-2005	1012	90
15-Dec-2004	1012	83
15-Sep-2004	1013	91
15-Jul-2004	1013	84
15-May-2004	1010	85
15-Feb-2004	1007	102
15-Dec-2003	1007	100
15-Sep-2003	1008	106
15-Jul-2003	1011	114
15-May-2003	1010	111
15-Mar-2003	1013	87
31-Dec-2002	1016	87
30-Sep-2002	1014	81
28-Jul-2002	1010	69
27-May-2002	1009	64
31-Mar-2002	1008	63
16-Dec-2001	1006	57
26-Aug-2001	1008	51
1-Jul-2001	1007	40
29-Apr-2001	1003	36
16-Dec-2000	999	29
27-Aug-2000	1001	29
25-Jun-2000	990	32
30-Apr-2000	988	25
29-Aug-1999	988	24
27-Jun-1999	974	23
15-Nov-1998	976	16
8-Aug-1998	975	13
31-Jan-2018	987	13
25-Jul-2017	984	10
27-Jun-2017	991	7
28-Mar-2017	976	11
24-Jan-2017	976	9
17-May-2016	962	11
26-Jan-2016	961	18
1-Sep-2015	959	18
23-Jun-2015	961	18
26-May-2015	966	18
24-Mar-2015	960	17
27-Jan-2015	960	19
26-Aug-2014	959	18
24-Jun-2014	969	14
27-May-2014	974	23
21-Jan-2014	977	25
22-Oct-2013	978	21
2-Jul-2013	986	18
21-May-2013	984	15
23-Apr-2013	975	16
26-Mar-2013	966	12
26-Feb-2013	984	11
3-Jul-2012	978	9
13-Sep-2011	970	10
29-Mar-2011	970	9
31-Aug-2010	973	11
4-May-2010	977	10
20-Oct-2009	975	10
21-Jul-2009	978	8
9-Sep-2008	976	16
29-Apr-2008	973	14
28-Aug-2007	991	13
26-Jun-2007	983	14
19-Sep-2006	990	11
27-Jun-2006	989	15
15-Dec-2005	999	23
15-Sep-2005	1008	22
15-Jul-2005	1007	24
15-May-2005	1006	21
15-Dec-2004	998	29
15-Sep-2004	998	26
15-May-2004	992	26
15-Feb-2004	990	20
15-Dec-2003	990	20
15-Sep-2003	994	24
15-May-2003	1000	24
15-Mar-2003	1006	30
31-Dec-2002	1007	30
30-Sep-2002	1006	30
28-Jul-2002	1005	33
27-May-2002	1012	29
31-Mar-2002	1009	23
16-Dec-2001	1009	21
26-Aug-2001	1008	17
1-Jul-2001	1004	19
29-Apr-2001	1006	23
27-Aug-2000	1001	27
25-Jun-2000	996	29
30-Apr-2000	997	25
29-Aug-1999	986	22
27-Jun-1999	975	20
25-Apr-1999	970	13
8-Aug-1998	970	10
31-Jan-2018	959	34
12-Dec-2017	960	35
14-Nov-2017	959	37
25-Oct-2017	958	30
22-Aug-2017	954	30
25-Jul-2017	955	27
26-Apr-2017	957	28
28-Feb-2017	954	35
6-Dec-2016	952	33
15-Nov-2016	950	32
18-Oct-2016	950	34
19-Jul-2016	950	37
21-Jun-2016	951	37
17-May-2016	944	24
22-Mar-2016	945	22
23-Feb-2016	948	20
26-Jan-2016	960	17
8-Dec-2015	960	14
17-Nov-2015	964	11
20-Oct-2015	961	9
30-Sep-2015	969	7
28-Jul-2015	966	7
16-Dec-2014	969	8
19-Nov-2013	966	12
11-Jun-2013	981	10
21-May-2013	976	10
13-Nov-2012	993	11
15-May-2012	983	14
20-Dec-2011	983	10
21-Jun-2011	982	23
14-Dec-2010	994	30
26-Oct-2010	991	27
31-Aug-2010	991	34
20-Jul-2010	998	25
22-Jun-2010	994	25
4-May-2010	998	33
26-Jan-2010	1003	29
20-Oct-2009	1002	34
1-Sep-2009	999	31
